Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Issuing membership and Discount Suite,Chrome 70.0.3538.77,,2018-10-27 15:22:17,2018-10-27 15:22:33,15.876s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 1,Chrome 70.0.3538.77,,2018-10-27 15:22:17,2018-10-27 15:22:22,4.728s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:22:17,2018-10-27 15:22:20,2.908s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:22:20,2018-10-27 15:22:20,0.122s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:22:20,2018-10-27 15:22:21,0.259s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.162s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.107s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.177s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.036s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.023s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.058s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:21,0.043s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-27 15:22:21,2018-10-27 15:22:22,0.614s,PASSED
,,,,,,
Test Cases/Isqtb/Decision tables/Issuing membership and Discount/Rules/Issue MemberShip- Rule 2,Chrome 70.0.3538.77,,2018-10-27 15:22:22,2018-10-27 15:22:26,3.761s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-27 15:22:22,2018-10-27 15:22:24,1.933s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-27 15:22:24,2018-10-27 15:22:24,0.144s,PASSED
click,Chrome 70.0.3538.77,,2018-10-27 15:22:24,2018-10-27 15:22:24,0.175s,PASSED
